symbol,base,onboard_date,vol24h_usdt,kl_start,kl_end,n_days,n_funding
BTCUSDT,BTC,2019-09-08,7811543245.9,2019-09-08,2026-07-12,2500,7493
ETHUSDT,ETH,2019-11-27,6896625367.33,2019-11-27,2026-07-12,2420,7259
BANKUSDT,BANK,2025-04-18,1163623308.16659,2025-04-18,2026-07-22,461,2760
SOLUSDT,SOL,2020-09-14,1077661191.8388,2020-09-14,2026-07-12,2128,6460
HYPEUSDT,HYPE,2025-05-30,728844681.78465,2025-05-30,2026-07-22,419,2510
ZECUSDT,ZEC,2020-02-05,485297023.92,2020-02-05,2026-07-12,2350,7052
XRPUSDT,XRP,2020-01-06,470906847.1748,2020-01-06,2026-07-12,2380,7139
DEXEUSDT,DEXE,2024-12-24,416038750.70072,2024-12-24,2026-07-22,576,3479
ERAUSDT,ERA,2025-07-17,293202169.14861,2025-07-17,2026-07-22,371,2315
DOGEUSDT,DOGE,2020-07-10,243897455.13563,2020-07-10,2026-07-12,2194,6581
REUSDT,RE,2026-06-18,229862012.4062,2026-06-18,2026-07-22,35,205
LABUSDT,LAB,2025-10-17,228837636.6878,2025-10-17,2026-07-22,279,2058
AKEUSDT,AKE,2025-09-26,186628186.9813791,2025-09-26,2026-07-22,300,1796
BNBUSDT,BNB,2020-02-10,173036343.55,2020-02-10,2026-07-12,2345,7034
ADAUSDT,ADA,2020-01-31,153811307.2346,2020-01-31,2026-07-12,2355,7099
RIFUSDT,RIF,2023-10-21,148791651.1098,2023-10-21,2026-07-22,1006,6080
NEARUSDT,NEAR,2020-10-15,129918138.639,2020-10-15,2026-07-12,2097,6292
ONDOUSDT,ONDO,2024-01-20,127058399.83968,2024-01-20,2026-07-22,915,5485
WLDUSDT,WLD,2023-07-24,118182837.4527,2023-07-24,2026-07-22,1095,3283
1000PEPEUSDT,1000PEPE,2023-05-05,110882531.8699576,2023-05-05,2026-07-22,1175,3523
SUIUSDT,SUI,2023-05-03,109977107.4219,2023-05-03,2026-07-22,1177,3529
ENAUSDT,ENA,2024-04-02,108749457.69457,2024-04-02,2026-07-22,842,5047
AAVEUSDT,AAVE,2020-10-16,106889833.219,2020-10-16,2026-07-12,2096,6287
ESPORTSUSDT,ESPORTS,2025-07-29,103147159.14004,2025-07-29,2026-07-22,359,2405
MIRAUSDT,MIRA,2025-09-26,99391130.94581,2025-09-26,2026-07-22,300,2030
PUMPUSDT,PUMP,2025-07-10,81600952.006078,2025-07-10,2026-07-22,378,2672
PAXGUSDT,PAXG,2025-03-27,77985286.0425,2025-03-27,2026-07-22,483,2895
LINKUSDT,LINK,2020-01-17,73640873.492,2020-01-17,2026-07-12,2369,7106
TAOUSDT,TAO,2024-04-11,67606651.08,2024-04-11,2026-07-22,833,4993
UNIUSDT,UNI,2020-09-18,66042301.147,2020-09-18,2026-07-12,2124,6374
NIGHTUSDT,NIGHT,2025-12-10,64302064.49189,2025-12-10,2026-07-22,225,1346
BROCCOLIF3BUSDT,BROCCOLIF3B,2025-03-21,63668783.040883,2025-03-21,2026-07-22,489,4064
ONEUSDT,ONE,2021-03-17,61532212.88567,2021-03-18,2026-07-22,1953,5858
